,usd,usd,usd,usd,vol
,open,high,low,close,vol
time,,,,,
2014-05-16,446.67,449.87,446.11,449.5,24.350577949999998
2014-05-17,472.8,472.8,472.8,472.8,0.15297
2014-05-19,449.7,449.7,441.6,447.35,45.048499249999985
2014-05-20,447.89,458.36,447.89,457.8,33.56041206
2014-05-21,457.8,495.85,457.8,495.4,11.044952060000002
2014-05-22,495.5,522.9,495.5,521.95,19.842867800000008
2014-05-26,529.9,580.75,529.9,580.0,2.3748259899999997
2014-05-27,580.0,580.0,564.93,566.432,9.475818110000004
2014-05-28,567.95,582.0,567.95,570.76,33.8249386
2014-05-29,569.9,569.9,564.8,564.8,1.06691999
2014-05-30,575.23,610.95,560.0,610.95,5.44312455
2014-06-02,625.11,653.04,517.9,653.04,86.53409685
2014-06-03,662.13,670.39,653.37,670.11,91.31266966000005
2014-06-04,670.03,670.03,638.52,643.21,73.63251367000007
2014-06-05,645.78,660.0,641.17,660.0,42.07773640000001
2014-06-06,660.0,661.05,562.0,659.18,54.88276473
2014-06-07,650.27,656.19,649.5,653.6,19.288107790000005
2014-06-08,655.39,655.39,654.07,654.5,2.59311918
2014-06-09,653.7,656.23,500.0,647.82,51.641192409999974
2014-06-10,648.92,656.84,648.92,654.9,26.487691139999985
2014-06-11,651.65,651.65,629.2,642.99,82.00987824000002
2014-06-12,632.55,632.55,602.1,602.1,65.38879967999998
2014-06-13,593.42,611.07,593.42,611.07,1.8776196
2014-06-14,593.4,593.4,590.4,590.4,0.071875
2014-06-16,608.0,628.3,591.1,592.0,54.45573815000001
2014-06-17,598.0,598.0,598.0,598.0,0.0499968
2014-06-18,606.8,607.0,605.05,605.05,0.12
2014-06-20,590.11,590.9,590.11,590.9,0.0760718
2014-06-21,588.0,595.0,583.0,591.0,18.180748529999995
2014-06-22,598.0,599.1,593.0,595.0,5.32927654
2014-06-23,585.8,588.8,585.8,587.9,13.603794650000003
2014-06-25,587.5,587.5,565.0,569.0,1.89206774
2014-06-28,590.0,590.01,590.0,590.01,0.0782555
2014-06-30,613.6,631.12,613.6,631.12,0.2701227
2014-07-10,611.59,623.9,609.52,615.87,5.03831972
2014-07-11,616.01,627.61,547.0,627.61,4.60033309
2014-07-14,627.55,627.55,619.1,620.0,1.2363955000000002
2014-07-15,620.0,623.18,620.0,622.4,6.468097279999999
2014-07-16,622.31,624.3,615.54,618.85,7.98226233
2014-07-17,617.52,621.6,613.02,621.6,4.66455979
